[2026-09-01 14:06:30] NEW FILE TOTAL: 0/250 (0.0%) | LESSON PLANS: 0 (>20 req) | GRADES 1-12: [C1:0, C2:0, C3:0, C4:0, C5:0, C6:0, C7:0, C8:0, C9:0, C10:0, C11:0, C12:0] | RATE: +0 in 30s
[2026-09-01 14:56:00] NEW FILE TOTAL: 68/250 (27.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 14:56:31] NEW FILE TOTAL: 68/250 (27.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 14:57:01] NEW FILE TOTAL: 68/250 (27.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 14:57:31] NEW FILE TOTAL: 68/250 (27.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:9, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 14:58:01] NEW FILE TOTAL: 69/250 (27.6%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +1 in 30s
[2026-09-01 14:58:31] NEW FILE TOTAL: 69/250 (27.6%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 14:59:01] NEW FILE TOTAL: 69/250 (27.6%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 14:59:31] NEW FILE TOTAL: 69/250 (27.6%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 15:00:01] NEW FILE TOTAL: 69/250 (27.6%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 15:00:31] NEW FILE TOTAL: 69/250 (27.6%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 15:01:01] NEW FILE TOTAL: 69/250 (27.6%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 15:01:31] NEW FILE TOTAL: 69/250 (27.6%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 15:02:01] NEW FILE TOTAL: 69/250 (27.6%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 15:02:31] NEW FILE TOTAL: 69/250 (27.6%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:4, C12:3] | RATE: +0 in 30s
[2026-09-01 15:03:01] NEW FILE TOTAL: 70/250 (28.0%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:03:31] NEW FILE TOTAL: 70/250 (28.0%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:04:01] NEW FILE TOTAL: 70/250 (28.0%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:04:31] NEW FILE TOTAL: 70/250 (28.0%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:10, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:05:01] NEW FILE TOTAL: 71/250 (28.4%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:11, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:05:31] NEW FILE TOTAL: 71/250 (28.4%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:11, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:06:01] NEW FILE TOTAL: 71/250 (28.4%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:11, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:06:31] NEW FILE TOTAL: 72/250 (28.8%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:07:01] NEW FILE TOTAL: 72/250 (28.8%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:07:31] NEW FILE TOTAL: 72/250 (28.8%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:5, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:08:01] NEW FILE TOTAL: 73/250 (29.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:6, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:08:31] NEW FILE TOTAL: 73/250 (29.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:6, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:09:01] NEW FILE TOTAL: 73/250 (29.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:6, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:09:31] NEW FILE TOTAL: 73/250 (29.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:6, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:10:01] NEW FILE TOTAL: 73/250 (29.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:6, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:10:31] NEW FILE TOTAL: 73/250 (29.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:6, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:11:01] NEW FILE TOTAL: 73/250 (29.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:6, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:11:31] NEW FILE TOTAL: 73/250 (29.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:6, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:12:01] NEW FILE TOTAL: 73/250 (29.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:6, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:12:31] NEW FILE TOTAL: 73/250 (29.2%) | LESSON PLANS: 28 (>20 req) | GRADES 1-12: [C1:8, C2:12, C3:6, C4:4, C5:7, C6:7, C7:6, C8:5, C9:5, C10:5, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:13:01] NEW FILE TOTAL: 76/250 (30.4%) | LESSON PLANS: 29 (>20 req) | GRADES 1-12: [C1:8, C2:13, C3:6, C4:4, C5:8, C6:7, C7:6, C8:5, C9:5, C10:6, C11:5, C12:3] | RATE: +3 in 30s
[2026-09-01 15:13:31] NEW FILE TOTAL: 76/250 (30.4%) | LESSON PLANS: 29 (>20 req) | GRADES 1-12: [C1:8, C2:13, C3:6, C4:4, C5:8, C6:7, C7:6, C8:5, C9:5, C10:6, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:14:01] NEW FILE TOTAL: 76/250 (30.4%) | LESSON PLANS: 29 (>20 req) | GRADES 1-12: [C1:8, C2:13, C3:6, C4:4, C5:8, C6:7, C7:6, C8:5, C9:5, C10:6, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:14:31] NEW FILE TOTAL: 76/250 (30.4%) | LESSON PLANS: 29 (>20 req) | GRADES 1-12: [C1:8, C2:13, C3:6, C4:4, C5:8, C6:7, C7:6, C8:5, C9:5, C10:6, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:15:01] NEW FILE TOTAL: 76/250 (30.4%) | LESSON PLANS: 29 (>20 req) | GRADES 1-12: [C1:8, C2:13, C3:6, C4:4, C5:8, C6:7, C7:6, C8:5, C9:5, C10:6, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:15:31] NEW FILE TOTAL: 76/250 (30.4%) | LESSON PLANS: 29 (>20 req) | GRADES 1-12: [C1:8, C2:13, C3:6, C4:4, C5:8, C6:7, C7:6, C8:5, C9:5, C10:6, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:16:01] NEW FILE TOTAL: 77/250 (30.8%) | LESSON PLANS: 29 (>20 req) | GRADES 1-12: [C1:8, C2:13, C3:6, C4:4, C5:8, C6:7, C7:7, C8:5, C9:5, C10:6, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:16:31] NEW FILE TOTAL: 77/250 (30.8%) | LESSON PLANS: 29 (>20 req) | GRADES 1-12: [C1:8, C2:13, C3:6, C4:4, C5:8, C6:7, C7:7, C8:5, C9:5, C10:6, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:17:01] NEW FILE TOTAL: 77/250 (30.8%) | LESSON PLANS: 29 (>20 req) | GRADES 1-12: [C1:8, C2:13, C3:6, C4:4, C5:8, C6:7, C7:7, C8:5, C9:5, C10:6, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:17:31] NEW FILE TOTAL: 78/250 (31.2%) | LESSON PLANS: 29 (>20 req) | GRADES 1-12: [C1:8, C2:13, C3:6, C4:4, C5:9, C6:7, C7:7, C8:5, C9:5, C10:6, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:18:01] NEW FILE TOTAL: 80/250 (32.0%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:7, C7:7, C8:5, C9:5, C10:7, C11:5, C12:3] | RATE: +2 in 30s
[2026-09-01 15:18:31] NEW FILE TOTAL: 81/250 (32.4%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:5, C10:7, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:19:01] NEW FILE TOTAL: 81/250 (32.4%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:5, C10:7, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:19:31] NEW FILE TOTAL: 81/250 (32.4%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:5, C10:7, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:20:01] NEW FILE TOTAL: 81/250 (32.4%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:5, C10:7, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:20:31] NEW FILE TOTAL: 81/250 (32.4%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:5, C10:7, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:21:01] NEW FILE TOTAL: 81/250 (32.4%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:5, C10:7, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:21:31] NEW FILE TOTAL: 81/250 (32.4%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:5, C10:7, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:22:01] NEW FILE TOTAL: 81/250 (32.4%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:5, C10:7, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:22:31] NEW FILE TOTAL: 81/250 (32.4%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:5, C10:7, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:23:01] NEW FILE TOTAL: 83/250 (33.2%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:6, C10:8, C11:5, C12:3] | RATE: +2 in 30s
[2026-09-01 15:23:31] NEW FILE TOTAL: 83/250 (33.2%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:6, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:24:01] NEW FILE TOTAL: 83/250 (33.2%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:6, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:24:31] NEW FILE TOTAL: 83/250 (33.2%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:6, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:25:01] NEW FILE TOTAL: 83/250 (33.2%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:6, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:25:31] NEW FILE TOTAL: 83/250 (33.2%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:6, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:26:01] NEW FILE TOTAL: 83/250 (33.2%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:6, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:26:31] NEW FILE TOTAL: 83/250 (33.2%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:6, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:27:01] NEW FILE TOTAL: 83/250 (33.2%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:6, C4:4, C5:9, C6:8, C7:7, C8:5, C9:6, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:27:31] NEW FILE TOTAL: 84/250 (33.6%) | LESSON PLANS: 30 (>20 req) | GRADES 1-12: [C1:9, C2:13, C3:7, C4:4, C5:9, C6:8, C7:7, C8:5, C9:6, C10:8, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:28:01] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +3 in 30s
[2026-09-01 15:28:31] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:29:01] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:29:31] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:30:01] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:30:31] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:31:01] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:31:31] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:32:01] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:32:31] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:33:01] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:33:31] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:34:01] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:34:31] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:35:01] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:35:31] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:36:01] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:36:31] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:37:01] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:37:31] NEW FILE TOTAL: 87/250 (34.8%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:10, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:38:01] NEW FILE TOTAL: 88/250 (35.2%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:38:31] NEW FILE TOTAL: 88/250 (35.2%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:39:01] NEW FILE TOTAL: 88/250 (35.2%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:39:31] NEW FILE TOTAL: 88/250 (35.2%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:40:01] NEW FILE TOTAL: 88/250 (35.2%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:40:31] NEW FILE TOTAL: 88/250 (35.2%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:41:01] NEW FILE TOTAL: 88/250 (35.2%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:41:31] NEW FILE TOTAL: 88/250 (35.2%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:42:01] NEW FILE TOTAL: 88/250 (35.2%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:8, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:42:31] NEW FILE TOTAL: 89/250 (35.6%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:9, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:43:01] NEW FILE TOTAL: 89/250 (35.6%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:9, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:43:32] NEW FILE TOTAL: 89/250 (35.6%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:9, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:44:02] NEW FILE TOTAL: 89/250 (35.6%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:9, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:44:32] NEW FILE TOTAL: 89/250 (35.6%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:9, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:45:02] NEW FILE TOTAL: 89/250 (35.6%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:9, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
